"","AIC.full","AIC.disc","LR.disc","AIC.cont","LR.cont"
"GSE12225.GPL3676_eset",NA,NA,NA,NA,NA
"GSE12945_eset",64.4922624511409,61.4991686294231,0.6044398672018,66.344954712519,0.0535925008242498
"GSE13067_eset",NA,NA,NA,NA,NA
"GSE17538.GPL570_eset",NA,NA,NA,NA,NA
"GSE2109_eset",NA,NA,NA,NA,NA
"GSE21510_eset",NA,NA,NA,NA,NA
"GSE33113_eset",NA,NA,NA,NA,NA
"GSE39582_eset",632.922758410072,636.409623965641,0.0236727003725052,671.738053123889,5.04402095750592e-10
"TCGA.COAD_eset",139.261127822684,135.720870717749,0.794635748323898,145.309734163164,0.00657616736782897
"TCGA.RNASeqV2_eset",200.293287963836,197.013776498882,0.697505927215355,204.433915159986,0.0170720339109661
